Album,Artist Name,type
Jane Doe,Converge,CD
Silent Hill,Akira Yamaoka,CD
In the Rectory of the Bizarre Reverend,Reverend Bizarre,CD
Original Pirate Material,The Streets,CD
Yerself Is Steam,Mercury Rev,CD
Burn the Sun,Ark,CD
Without You I'm Nothing,Placebo,CD
Song of the Marching Children,Earth & Fire,CD
99.9 F°,Suzanne Vega,CD
Préludes · Volume 1,Arturo Benedetti Michelangeli,CD
Witchcult Today,Electric Wizard,CD
Ladies of the Canyon,Joni Mitchell,CD
Lucinda Williams,Lucinda Williams,CD
Only Built 4 Cuban Linx...,Raekwon,CD
Master and Everyone,Bonnie 'Prince' Billy,CD
Elastic Rock,Nucleus,CD
Abraxas,Santana,CD
Confield,Autechre,CD
Revival,Gillian Welch,CD
Relatives in Descent,Protomartyr,CD
Stand Back! Here Comes Charley Musselwhite's South Side Band,Charley Musselwhite,CD
Parallel Lines,Blondie,CD
Blowout Comb,Digable Planets,CD
Milestones,Miles Davis,CD
Halloween,John Carpenter,CD
Choirs of the Eye,Kayo Dot,CD
"""Love and Theft""",Bob Dylan,CD
One of Us Is the Killer,The Dillinger Escape Plan,CD
Ágætis byrjun,Sigur Rós,CD
In Praise of Learning,Henry Cow,CD
Electr-o-Pura,Yo La Tengo,CD
Mandylion,The Gathering,CD
When the Kite String Pops,Acid Bath,CD
Basie,Count Basie and His Orchestra + Neal Hefti Arrangements,CD
Sing to God,Cardiacs,CD
Dah Shinin',Smif-n-Wessun,CD
Stardust,Willie Nelson,CD
Cuphead,Kristofer Maddigan,CD
New Amerykah Part One: 4th World War,Erykah Badu,CD
Tonight's the Night,Neil Young,CD
Change,The Dismemberment Plan,CD
Libertango,Astor Piazzolla,CD
Alucinação,Belchior,CD
What Color Is Love,Terry Callier,CD
Death or Glory,Running Wild,CD
Unholy Cult,Immolation,CD
Dead Heart in a Dead World,Nevermore,CD
L'aldilà,Fabio Frizzi,CD
Blood & Chocolate,Elvis Costello and The Attractions,CD
Madman Across the Water,Elton John,CD
Around the Fur,Deftones,CD
Moonshine,Bert Jansch,CD
The Blackening,Machine Head,CD
Volunteers,Jefferson Airplane,CD
Bad,Michael Jackson,CD
Chrono Cross,Yasunori Mitsuda,CD
Das Lied von der Erde,New Philharmonia Orchestra / Philharmonia Orchestra / Otto Klemperer / Christa Ludwig / Fritz Wunderlich,CD
Moonlight,Nicholas Britell,CD
Stillbirth Machine,Order From Chaos,CD
Africa / Brass,The John Coltrane Quartet,CD
Mutantes,Mutantes,CD
Liar,The Jesus Lizard,CD
Rhythm Nation 1814,Janet Jackson,CD
Foxtrot,Genesis,CD
Hymnvs,Hoedh,CD
The Devil Made Me Do It,Paris,CD
You Don't Mess Around With Jim,Jim Croce,CD
Leeway,Lee Morgan,CD
Volume 16: For da Summa of '94,Mista D.J. Paul,CD
Trust,Low,CD
The B-52's,The B-52's,CD
"Vol. 9mm ""It's On""",Juicy (Juice Manne) Jay,CD
In 'n Out,Joe Henderson,CD
Parachute,Pretty Things,CD
Murray Street,Sonic Youth,CD
On a Storyteller's Night,Magnum,CD
Vision Creation Newsun,Boredoms,CD
Andrew Bird & The Mysterious Production of Eggs,Andrew Bird,CD
Rainbow Bridge,Jimi Hendrix,CD
Suite bergamasque; Children's Corner; Estampes; L'isle joyeuse; La fille aux cheveux de lin; La plus que lente; Etude pour les arpèges,Alexis Weissenberg,CD
Those Who Throw Objects at the Crocodiles Will Be Asked to Retrieve Them,Bruno Pernadas,CD
Street Fighter III: 3rd Strike - Fight for the Future,奥河英樹 [Hideki Okugawa],CD
Everything Must Go,Manic Street Preachers,CD
Johnny Burnette and the Rock 'n Roll Trio,Johnny Burnette & The Rock 'n Roll Trio,CD
Ok nefna tysvar ty,Falkenbach,CD
...Majestic Thou in Ruin,Dusk,CD
Symphonies of Sickness,Carcass,CD
El escarabajo más grande de Europa,El Niño Gusano,CD
The Goldberg Variations,Glenn Gould,CD
Apocalypse 91...The Enemy Strikes Black,Public Enemy,CD
Continuo,Avishai Cohen,CD
La mosca y la sopa,Patricio Rey y sus Redonditos de Ricota,CD
Lurker of Chalice,Lurker of Chalice,CD
India's Master Musician,Ravi Shankar,CD
Inspiration Is Dead,凛として時雨 [Ling Tosite Sigure],CD
Communion,Septicflesh,CD
Field Songs,Mark Lanegan,CD
Here's Little Richard,Little Richard,CD
La double vie de Véronique: The Double Life of Veronika,Zbigniew Preisner,CD
The Similitude of a Dream,The Neal Morse Band,CD
Bridge Over Troubled Water,Simon and Garfunkel,CD
The Times They Are A-Changin',Bob Dylan,CD
"Straight, No Chaser",Thelonious Monk,CD
Selda,Selda,CD
Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,CD
White Pony,Deftones,CD
Force Majeure,Tangerine Dream,CD
Бодун,АукцЫон [Auktyon],CD
Oddech wymarłych światów,KAT,CD
Symphonien No. 8 »Unvollendete« · No. 3,Wiener Philharmoniker / Carlos Kleiber,CD
Everybody Knows This Is Nowhere,Neil Young with Crazy Horse,CD
Dub Housing,Pere Ubu,CD
Exuvia,The Ruins of Beverast,CD
Pale Folklore,Agalloch,CD
The Anatomy of Addiction,God,CD
Transmissions From the Satellite Heart,The Flaming Lips,CD
Berry Is on Top,Chuck Berry,CD
Arbeit macht frei,Area,CD
Hunky Dory,David Bowie,CD
Études Op.10 & Op.25,Maurizio Pollini,CD
Communication,Junko,CD
Piece of Mind,Iron Maiden,CD
P.H.U.Q.,The Wildhearts,CD
Going Blank Again,Ride,CD
Strictly From Hunger,Hunger,CD
The Beatnuts,The Beatnuts,CD
Voice of the Blood,Sequentia,CD
1996,Ryuichi Sakamoto,CD
