Album,Artist Name,type
Hair of the Dog,Nazareth,CD
Never Mind the Bollocks Here's the Sex Pistols,Sex Pistols,CD
Slapp Happy or Slapp Happy,Slapp Happy,CD
drukqs,Aphex Twin,CD
Transient,Gaelle,CD
Mob Rules,Black Sabbath,CD
VA-11 HALL-A: Second Round,Garoad,CD
Nosferatu: Brüder des Schattens - Söhne des Lichts,Popol Vuh,CD
Tristan und Isolde,Wilhelm Furtwängler / Ludwig Suthaus / Kirsten Flagstad,CD
Coping With the Urban Coyote,Unida,CD
808s & Heartbreak,Kanye West,CD
Sonny's Dream (Birth of the New Cool),The Sonny Criss Orchestra,CD
From Gardens Where We Feel Secure,Virginia Astley,CD
The World of Genius Hans,Moving Gelatine Plates,CD
Crack the Skye,Mastodon,CD
Easter,Patti Smith Group,CD
Aurora,平沢進 [Susumu Hirasawa],CD
Ceux du dehors,Univers Zéro,CD
L'apocalypse des animaux,Vangelis Papathanassiou,CD
Stage Four,Touché Amoré,CD
Q: Are We Not Men? A: We Are Devo!,Devo,CD
Getz / Gilberto,Stan Getz & João Gilberto featuring Antônio Carlos Jobim,CD
No One Can Do It Better,The D.O.C.,CD
Loki?,Arnaldo Baptista,CD
Tata Kazika,Kult,CD
Alenar,Maria del Mar Bonet,CD
Good for Your Soul,Oingo Boingo,CD
Have Moicy!,"Michael Hurley, The Unholy Modal Rounders, Jeffrey Fredericks & The Clamtones",CD
It's Time,Max Roach and His Chorus and Orchestra,CD
Chega de saudade,João Gilberto,CD
加爾基 精液 栗ノ花 (Kalk samen kuri no hana),椎名林檎 [Sheena Ringo],CD
Spirit Phone,Lemon Demon,CD
Trust Us,Motorpsycho,CD
Time,ELO,CD
Pop Crimes,Rowland S. Howard,CD
Underwater Moonlight,The Soft Boys,CD
Irrlicht,Klaus Schulze,CD
Frames,Oceansize,CD
Cave Story,Studio Pixel,CD
The Sinking of the Titanic,Gavin Bryars,CD
LC,The Durutti Column,CD
The Big Beat,Art Blakey & The Jazz Messengers,CD
Wee Tam & The Big Huge,The Incredible String Band,CD
Days of Future Passed,The Moody Blues With The London Festival Orchestra,CD
Today,Galaxie 500,CD
Cello Concerto; Sea Pictures,London Symphony Orchestra / John Barbirolli / Jacqueline du Pré / Janet Baker,CD
Don Cherry,Don Cherry,CD
Slave to the Grind,Skid Row,CD
Mythical & Magical,Pagan Altar,CD
Funky Kingston,Toots & The Maytals,CD
Hex,Bark Psychosis,CD
Filth,Swans,CD
Low Estate,Sixteen Horsepower,CD
Transient Random-Noise Bursts With Announcements,Stereolab,CD
Love in Us All,Pharoah Sanders,CD
Weezer [Blue Album],Weezer,CD
Wheels of Steel,Saxon,CD
War,U2,CD
The ArchAndroid,Janelle Monáe,CD
Salvation,Cult of Luna,CD
The Art of Navigating by the Stars,Sieges Even,CD
A mulher do fim do mundo,Elza,CD
Metal Heart,Accept,CD
Mezzanine,Massive Attack,CD
Sketches of Spain,Miles Davis,CD
The Best Part,J-Live,CD
Still,Nine Inch Nails,CD
Ellington Uptown,Duke Ellington and His Orchestra,CD
Love Ire & Song,Frank Turner,CD
Re,Café Tacvba,CD
Taj Mahal,Taj Mahal,CD
I Am,"Earth, Wind & Fire",CD
Somewhere in Time,Iron Maiden,CD
Wahoo!,Eero Koivistoinen Music Society,CD
The Satanist,Behemoth,CD
Teatro,Willie Nelson,CD
Y,The Pop Group,CD
For You,山下達郎 [Tatsuro Yamashita],CD
The Seaside,Cardiacs,CD
Fatal Portrait,King Diamond,CD
Phaedra,Tangerine Dream,CD
Paint a Picture,Fantasy,CD
G_d's Pee AT STATE'S END!,Godspeed You! Black Emperor,CD
Tana Talk 3,Benny the Butcher,CD
Rumours,Fleetwood Mac,CD
Graduation,Kanye West,CD
Are You Experienced,The Jimi Hendrix Experience,CD
Isa,Enslaved,CD
Marek Grechuta & Anawa,Marek Grechuta & Anawa,CD
Lord Willin',Clipse,CD
Rock Bottom,Robert Wyatt,CD
Bath,maudlin of the Well,CD
Razamanaz,Nazareth,CD
Vib-Ribbon,Laugh & Peace,CD
Stardust We Are,The Flower Kings,CD
Intermodulation,Bill Evans & Jim Hall,CD
Wildhoney,Tiamat,CD
Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,CD
Through Silver in Blood,Neurosis,CD
City of Caterpillar,City of Caterpillar,CD
The Thing to Do,Blue Mitchell,CD
The Natural Bridge,Silver Jews,CD
First Take,Roberta Flack,CD
Secos & Molhados,Secos & Molhados,CD
Lanquidity,Sun Ra,CD
Historia podwodna,Lech Janerka,CD
Confesiones de invierno,Sui Generis,CD
The Delfonics,The Delfonics,CD
Trans Europa Express,Kraftwerk,CD
Black Love,The Afghan Whigs,CD
Enter the Realm of Death,Runemagick,CD
Jerusalem,Sleep,CD
Nursery Cryme,Genesis,CD
H to He Who Am the Only One,Van der Graaf Generator,CD
Forlatt,Vàli,CD
Lucio Dalla,Lucio Dalla,CD
A Third of a Lifetime,Three Man Army,CD
A Charlie Brown Christmas,Vince Guaraldi,CD
Pet Sounds,The Beach Boys,CD
Children of God,Swans,CD
The Pink Panther,Henry Mancini,CD
Amarcord,Nino Rota,CD
Didn't It Rain,Songs: Ohia,CD
Stick-Up!,Bobby Hutcherson,CD
Wishbone Ash,Wishbone Ash,CD
Paris 1919,John Cale,CD
Trilogie de la mort,Eliane Radigue,CD
Deathcult for Eternity: The Triumph,The Chasm,CD
Deltron 3030,Deltron 3030,CD
Urban Hymns,The Verve,CD
Sulle corde di Aries,Battiato,CD
Death Walks Behind You,Atomic Rooster,CD
Black Saint,Billy Harper,CD
Hell on Earth,Mobb Deep,CD
The Cars,The Cars,CD
Pescado 2,Pescado Rabioso,CD
Mercurial World,Magdalena Bay,CD
Gentleman,Fela Ransome Kuti & The Afrika 70,CD
Quadrophenia,The Who,CD
666,Aphrodite's Child,CD
Mirror of Souls,Theocracy,CD
Somewhere Far Beyond,Blind Guardian,CD
Veneno,Veneno,CD
Otis Blue: Otis Redding Sings Soul,Otis Redding,CD
Emitt Rhodes,Emitt Rhodes,CD
Heralding: The Fireblade,Falkenbach,CD
Five Leaves Left,Nick Drake,CD
Reach Out,Four Tops,CD
Undeceived,Extol,CD
Twisted Into Form,Forbidden,CD
The Moon Is a Dead World,Gospel,CD
Shiny Beast (Bat Chain Puller),Captain Beefheart and The Magic Band,CD
Split,Groundhogs,CD
Masterpieces by Ellington,Duke Ellington and His Orchestra,CD
"Drumming; Music for Mallet Instruments, Voices and Organ; Six Pianos",Steve Reich & Musicians,CD
Кино (Чёрный альбом),Кино [Kino],CD
Hall of the Mountain Grill,Hawkwind,CD
Youth of America,Wipers,CD
Die Mensch-Maschine,Kraftwerk,CD
The Individualism of Gil Evans,Gil Evans,CD
Organized Konfusion,Organized Konfusion,CD
A Sombre Dance,Estatic Fear,CD
Bram Stoker's Dracula,Wojciech Kilar,CD
Una más (One More Time),Kenny Dorham,CD
Perdition City,Ulver,CD
OIL OF EVERY PEARL'S UN-INSIDES,SOPHIE,CD
The Rise and Fall of Ziggy Stardust and the Spiders From Mars,David Bowie,CD
Antisocialites,Alvvays,CD
Terminal Redux,Vektor,CD
A German Requiem,Philharmonia Orchestra / Philharmonia Chorus / Otto Klemperer / Elisabeth Schwarzkopf / Dietrich Fischer-Dieskau,CD
One Size Fits All,Frank Zappa and The Mothers of Invention,CD
Roman Candle,Elliott Smith,CD
Ogum Xangô,Gil e Jorge,CD
Bizarre Ride II the Pharcyde,The Pharcyde,CD
放課後ティータイムII (Ho-kago Tea Time Second),放課後ティータイム [Hokago Tea Time],CD
Neon Golden,The Notwist,CD
Liege & Lief,Fairport Convention,CD
Excitable Boy,Warren Zevon,CD
Yellow Magic Orchestra,Yellow Magic Orchestra,CD
革命京劇 (Revolutionary Pekinese Opera),Ground-Zero,CD
Blues-ette,Curtis Fuller's Quintet,CD
DOOM,Mick Gordon,CD
2012 - 2017,Against All Logic,CD
Harmony in Ultraviolet,Tim Hecker,CD
American IV: The Man Comes Around,Johnny Cash,CD
Realm of Chaos,Bolt Thrower,CD
Dear You,Jawbreaker,CD
No Love Deep Web,Death Grips,CD
Songs for Drella,Lou Reed & John Cale,CD
In Hearing of Atomic Rooster,Atomic Rooster,CD
Scheherazade,Chicago Symphony / Fritz Reiner,CD
Dirty Mind,Prince,CD
Off the Wall,Michael Jackson,CD
The Black Saint and the Sinner Lady,Mingus,CD
Per un pugno di dollari,Ennio Morricone,CD
Mabool: The Story of the Three Sons of Seven,Orphaned Land,CD
Ghosts of the Great Highway,Sun Kil Moon,CD
Music of My Mind,Stevie Wonder,CD
Sowiesoso,Cluster,CD
Felt,Felt,CD
I Can Hear the Heart Beating as One,Yo La Tengo,CD
Likferd,Windir,CD
Crack-Up,Fleet Foxes,CD
Death Certificate,Ice Cube,CD
NieR Gestalt & RepliCant,"岡部啓一 [Keiichi Okabe], 石濱翔 [Kakeru Ishihama], 帆足圭吾 [Keigo Hoashi] & 隆文西村 [Takafumi Nishimura]",CD
El Corazón,Steve Earle,CD
No More Shall We Part,Nick Cave and The Bad Seeds,CD
Script of the Bridge,The Chameleons,CD
6 Feet Deep,Gravediggaz,CD
Little Earthquakes,Tori Amos,CD
Doopee Time,Doopees,CD
Just a Poke,Sweet Smoke,CD
The Headless Children,W.A.S.P.,CD
Quattro pezzi per orchestra; Anahit; Uaxuctum,Orchestre et Chœur de la Radio-Télévision Polonaise de Cracovie / Jürg Wyttenbach / Carmen Fournier / Tristan Murail,CD
Stranger in the Alps,Phoebe Bridgers,CD
Colors,Between the Buried and Me,CD
"I, Jonathan",Jonathan Richman,CD
輪廻交響楽 (Ecophony Rinne),芸能山城組 [Geinoh Yamashirogumi],CD
Curtains,Tindersticks,CD
Takin' Off,Herbie Hancock,CD
Sagas,Equilibrium,CD
The Sacrilege of Fatal Arms,Devil Doll,CD
The Grand Wazoo,The Mothers,CD
Brown Sugar,D'Angelo,CD
janet.,Janet Jackson,CD
No World Order,Gamma Ray,CD
Plants and Birds and Rocks and Things,The Loud Family,CD
Pop,GAS,CD
Oceanborn,Nightwish,CD
With Hearts Toward None,Mgła,CD
Voimasta ja kunniasta,Moonsorrow,CD
Symphonie No. 4,Wiener Philharmoniker / Carlos Kleiber,CD
Caifanes Vol. 2 [El Diablito],Caifanes,CD
Interstellar Space,John Coltrane,CD
Oceanic,Isis,CD
Black Hole / Blank Canvas,Motorpsycho,CD
Love Over Gold,Dire Straits,CD
Horse Stories,Dirty Three,CD
The Great Cold Distance,Katatonia,CD
Helvete,Nasum,CD
Samurai,Samurai,CD
A Pagan Place,The Waterboys,CD
Please,Pet Shop Boys,CD
Diablo II: Soundtrack,Matt Uelmen,CD
The Elder Scrolls III: Morrowind,Jeremy Soule,CD
...And the Circus Leaves Town,Kyuss,CD
Soul Food,Goodie Mob,CD
Damaged,Black Flag,CD
Silent Hill 4 -The Room-,山岡晃 [Akira Yamaoka],CD
The Sky Moves Sideways,Porcupine Tree,CD
Slowdive,Slowdive,CD
The Woods,Sleater-Kinney,CD
Plux Quba,Nuno Canavarro,CD
An Empty Bliss Beyond This World,The Caretaker,CD
Daughter of Darkness,Natural Snow Buildings,CD
Carol of Harvest,Carol of Harvest,CD
Drinking Songs,Matt Elliott,CD
Those Once Loyal,Bolt Thrower,CD
Violent Femmes,Violent Femmes,CD
Multiple,Joe Henderson,CD
Taking Over,Overkill,CD
No Control,Bad Religion,CD
Hard Normal Daddy,Squarepusher,CD
Uwaga! Jedzie tramwaj,Lenny Valentino,CD
OFF,Alias Conrad Coldwood,CD
Misery Index,Assück,CD
Endless,Frank Ocean,CD
Lavender Country,Lavender Country,CD
"The Cook, the Thief, His Wife & Her Lover",Michael Nyman,CD
Heavyweight Dub Champion,Scientist,CD
Wish Someone Would Care,Irma Thomas,CD
Climax,Various Artists,CD
Bandwagonesque,Teenage Fanclub,CD
Echoes of a Friend,McCoy Tyner,CD
Blue Lines,Massive Attack,CD
L'imprudence,Alain Bashung,CD
La Biblia,Vox Dei,CD
Songs the Lord Taught Us,The Cramps,CD
Blood Sugar Sex Magik,Red Hot Chili Peppers,CD
Art Blakey and The Jazz Messengers [Moanin'],Art Blakey and The Jazz Messengers,CD
Variations Goldberg BWV 988,Pierre Hantaï,CD
I Am a Bird Now,Antony and the Johnsons,CD
The All Seeing Eye,Wayne Shorter,CD
Awaken the Guardian,Fates Warning,CD
The Tenth Sub Level of Suicide,Leviathan,CD
Angel Witch,Angel Witch,CD
Tutti morimmo a stento,Fabrizio De André,CD
Carmina Burana,Orchester der Deutschen Oper Berlin / Chor der Deutschen Oper Berlin / Eugen Jochum / Gundula Janowitz / Gerhard Stolze / Dietrich Fischer-Dieskau,CD
This Nation's Saving Grace,The Fall,CD
Is This Real?,Wipers,CD
Townes Van Zandt,Townes Van Zandt,CD
Fröm the Fjörds,Legend,CD
Juju,Siouxsie and The Banshees,CD
Have One on Me,Joanna Newsom,CD
I'm in Your Mind Fuzz,King Gizzard & the Lizard Wizard,CD
From Sleep,Max Richter,CD
Posłuchaj to do ciebie,Kult,CD
Minecraft: Volume Beta,C418,CD
Odessey and Oracle,The Zombies,CD
Heartbreaker,Free,CD
Breathe Awhile,Arcadium,CD
De Stijl,The White Stripes,CD
Mogwai Young Team,Mogwai,CD
Last One on Earth,Asphyx,CD
Bare Knuckle,古代祐三 [Yuzo Koshiro],CD
Music From The Adventures of Pete & Pete,Polaris,CD
The '59 Sound,The Gaslight Anthem,CD
Blod-draum,Molested,CD
Deicide,Deicide,CD
Further Definitions,Benny Carter and His Orchestra,CD
Still Life,Opeth,CD
First and Last and Always,The Sisters of Mercy,CD
The Noise Made by People,Broadcast,CD
Badmotorfinger,Soundgarden,CD
Porozumienie ponad podziałami,Kazik na Żywo,CD
Rosemary's Baby,Christopher Komeda,CD
Ode to Io,Lowrider,CD
Super Mario Galaxy,Mario Galaxy Orchestra,CD
My Favorite Things,John Coltrane,CD
Gal Costa,Gal Costa,CD
Captain Marvel,Stan Getz,CD
Open the Gates,Manilla Road,CD
To Bring You My Love,PJ Harvey,CD
"Love, Love",Julian Priester Pepo Mtoto,CD
Muswell Hillbillies,The Kinks,CD
The Voice of the Eagle,Robbie Basho,CD
Baduizm,Erykah Badu,CD
The Congregation,Leprous,CD
Jaco Pastorius,Jaco Pastorius,CD
Bergtatt: Et eeventyr i 5 capitler,Ulver,CD
Judgement,Anathema,CD
Somebody Loan Me a Dime,Fenton Robinson,CD
Another Music in a Different Kitchen,Buzzcocks,CD
Follow the Leader,Eric B. & Rakim,CD
World Extermination,Insect Warfare,CD
Whut? Thee Album,Redman,CD
Rubycon,Tangerine Dream,CD
?,Neal Morse,CD
冀西南林路行 (Inside the Cable Temple),万能青年旅店 [Omnipotent Youth Society],CD
Divine Discontent,Sixpence None the Richer,CD
The Paul Butterfield Blues Band,The Paul Butterfield Blues Band,CD
Singles,Various Artists,CD
Cold Roses,Ryan Adams & The Cardinals,CD
The Clown,Charles Mingus,CD
Hardworlder,Slough Feg,CD
Procession to the Infraworld,The Chasm,CD
Reckless Burning,Jesse Sykes & The Sweet Hereafter,CD
Juju,Wayne Shorter,CD
The Visitor,Arena,CD
Crimson II,Edge of Sanity,CD
Moving Gelatine Plates,Moving Gelatine Plates,CD
Kesto (234.48:4),Pan Sonic,CD
Street Ready,Leatherwolf,CD
Since I Left You,The Avalanches,CD
Isn't Anything,My Bloody Valentine,CD
Blow by Blow,Jeff Beck,CD
ማሕሙድ ፡ ኣሕመድ ፡ (Mahmoud Ahmed),ማሕሙድ ኣሕመድ [Mahmoud Ahmed],CD
Muddy Waters,Redman,CD
A Blaze in the Northern Sky,Darkthrone,CD
Aion,Dead Can Dance,CD
Eros,Dün,CD
"Hissing Fauna, Are You the Destroyer?",of Montreal,CD
Argybargy,Squeeze,CD
Fifth Dimension,The Byrds,CD
John Larkin,John Larkin,CD
Wildlife,La Dispute,CD
Maiden Voyage,Herbie Hancock,CD
The Salmon of Doubt,Coin locker kid,CD
Nemesis Divina,Satyricon,CD
Strictly Business,EPMD,CD
Pierced From Within,Suffocation,CD
Meditations,John Coltrane,CD
Sister,Sonic Youth,CD
Prose combat,MC Solaar,CD
Suicide,Stray,CD
For Musicians Only,"Stan Getz, Dizzy Gillespie & Sonny Stitt",CD
Negro é lindo,Jorge Ben,CD
Hvis lyset tar oss,Burzum,CD
The Mind Is a Terrible Thing to Taste,Ministry,CD
Dies Irae,Devil Doll,CD
Muzyka klasyczna,Pezet-Noon,CD
Absolutely Free,The Mothers of Invention,CD
Cantar,Gal Costa,CD
Return of the Boom Bap,KRS-One,CD
Prepare Thyself to Deal With a Miracle,Rahsaan Roland Kirk,CD
You Forgot It in People,Broken Social Scene,CD
Retriever,Ron Sexsmith,CD
Occasional Rain,Terry Callier,CD
Star Wars Episode I: The Phantom Menace,John Williams,CD
Center of Attention,Pete Rock & InI,CD
Dare Iz a Darkside,Redman,CD
Les stances à Sophie,Art Ensemble of Chicago,CD
Spirit the Earth Aflame,Primordial,CD
Lightning to the Nations,Diamond Head,CD
Songs of Love and Hate,Godflesh,CD
Mista Thug Isolation,Lil Ugly Mane,CD
Deep Listening,"Pauline Oliveros, Stuart Dempster & Panaiotis",CD
Graves of the Archangels,Dead Congregation,CD
Vheissu,Thrice,CD
Warrior on the Edge of Time,Hawkwind,CD
Koyaanisqatsi,Philip Glass,CD
The Mountain,Steve Earle & The Del McCoury Band,CD
Effloresce,Oceansize,CD
As the Weird Travel On,Deceased...,CD
Down Colorful Hill,Red House Painters,CD
A Night in Tunisia,Art Blakey & The Jazz Messengers,CD
Tri repetae,Autechre,CD
Vivisect VI,Skinny Puppy,CD
新しい日の誕生 (Atarashī hi no tanjō),２８１４,CD
Ashes Against the Grain,Agalloch,CD
Spilt Milk,Jellyfish,CD
Nighttime Birds,The Gathering,CD
Terrible Certainty,Kreator,CD
Symphonie Nr.5,Wiener Philharmoniker / Carlos Kleiber,CD
'Allelujah! Don't Bend! Ascend!,Godspeed You! Black Emperor,CD
Flygod,Westside Gunn,CD
The Social Network,Trent Reznor and Atticus Ross,CD
Camel,Camel,CD
Heyday,The Church,CD
Nocel,Furia,CD
"Ptah, the El Daoud",Alice Coltrane,CD
Tear Gas,Tear Gas,CD
Belonging,"Jan Garbarek, Keith Jarrett, Palle Danielsson & Jon Christensen",CD
Whatever and Ever Amen,Ben Folds Five,CD
Larks' Tongues in Aspic,King Crimson,CD
Houses of the Holy,Led Zeppelin,CD
Picchio dal Pozzo,Picchio dal Pozzo,CD
Befriended,The Innocence Mission,CD
Let Freedom Ring,Jackie McLean,CD
Sound,Roscoe Mitchell Sextet,CD
The Old Kit Bag,Richard Thompson,CD
Comment te dire adieu,Françoise Hardy,CD
"Fas – Ite, maledicti, in ignem aeternum",Deathspell Omega,CD
Space Shanty,Khan,CD
Control,Janet Jackson,CD
Clandestine,Entombed,CD
A Distant Thunder,Helstar,CD
Rockin' the Suburbs,Ben Folds,CD
Kensington Blues,Jack Rose,CD
OM,Negură Bunget,CD
The Bends,Radiohead,CD
Never for Ever,Kate Bush,CD
Cigarette Smoke Phantom,Something Like Elvis,CD
Inferno,Motörhead,CD
Stormcrowfleet,Skepticism,CD
No Heavy Petting,UFO,CD
Mass Romantic,The New Pornographers,CD
Looking In,Savoy Brown,CD
"Javanese Court Gamelan From the Pura Paku Alaman, Jogyakarta",K.R.T. Wasitodiningrat,CD
Alice in Hell,Annihilator,CD
A Hard Road,John Mayall and The Bluesbreakers,CD
Blast From the Past,Gamma Ray,CD
"Yasmina, a Black Woman",Archie Shepp,CD
Transcendence Into the Peripheral,diSEMBOWELMENT,CD
(I'm) Stranded,The Saints,CD
Nuevo día,Lole y Manuel,CD
Night Time,Killing Joke,CD
The Greatest Story Ever Told,The Lawrence Arms,CD
John Wesley Harding,Bob Dylan,CD
Purple Mountains,Purple Mountains,CD
Bare Nuckle II,古代祐三 [Yuzo Koshiro],CD
Morningrise,Opeth,CD
Brothers in Arms,Dire Straits,CD
Da pacem,Estonian Philharmonic Chamber Choir / Paul Hillier,CD
Celeste,Lena Raine,CD
It Might as Well Be Swing,"Frank Sinatra, Count Basie and His Orchestra",CD
The Late Great Townes Van Zandt,Townes Van Zandt,CD
Focus II,Focus,CD
Miłość w czasach popkultury,Myslovitz,CD
Downward Is Heavenward,Hum,CD
II: Crush the Insects,Reverend Bizarre,CD
In It for the Money,Supergrass,CD
Группа крови,Кино [Kino],CD
King Bee,Muddy Waters,CD
The Henry Cow Legend,Henry Cow,CD
Mother,"Keiichi Suzuki, Hirokazu Tanaka",CD
The Sanity Annex,Sonic Sum,CD
TNT,Tortoise,CD
Transformer,Lou Reed,CD
Skyforger,Amorphis,CD
Second Winter,Johnny Winter,CD
Hear Nothing See Nothing Say Nothing,Discharge,CD
Beneath the Remains,Sepultura,CD
Bicho,Caetano Veloso,CD
Casino,Al Di Meola,CD
Jazz Meets India,Dewan Motihar Trio / Irène Schweizer Trio / Manfred Schoof / Barney Wilen,CD
Fishscale,Ghostface Killah,CD
"Lonesome, On'ry and Mean",Waylon Jennings,CD
Deus Ex: Human Revolution,Michael McCann,CD
National Health,National Health,CD
Zombie,Fela Anikulapo Kuti and Afrika 70,CD
None So Vile,Cryptopsy,CD
Écailles de lune,Alcest,CD
Как я стал предателем,АукцЫон,CD
Aion,CMX,CD
Doggystyle,Snoop Doggy Dogg,CD
Calling Card,Rory Gallagher,CD
With a Little Help From My Friends,Joe Cocker,CD
Veedon Fleece,Van Morrison,CD
Accident of Birth,Bruce Dickinson,CD
Grievous Angel,Gram Parsons,CD
The Silver Tongued Devil and I,Kris Kristofferson,CD
Marrow of the Spirit,Agalloch,CD
Post,Björk,CD
Who Will Cut Our Hair When We're Gone?,The Unicorns,CD
攻殻機動隊: Stand Alone Complex O.S.T. (Ghost in the Shell: Stand Alone Complex O.S.T.),菅野よう子 [Yoko Kanno],CD
Pandemonium,Killing Joke,CD
Billion Dollar Babies,Alice Cooper,CD
Dear Catastrophe Waitress,Belle & Sebastian,CD
Miles in the Sky,Miles Davis,CD
Iron Man,Eric Dolphy,CD
Forever Changes,Love,CD
Shock Troops,Cock Sparrer,CD
Strawberry Jam,Animal Collective,CD
Stranglers IV (Rattus Norvegicus),The Stranglers,CD
So,Peter Gabriel,CD
The Eye,King Diamond,CD
Inhale/Exhale,Nasum,CD
Rising,Rainbow,CD
Things We Lost in the Fire,Low,CD
Halloween III: Season of the Witch,John Carpenter & Alan Howarth,CD
Enjoy Eternal Bliss,Yndi Halda,CD
Phantom Thread,Jonny Greenwood,CD
Trois couleurs: Bleu,Zbigniew Preisner,CD
Yèkatit: Ethio Jazz,Mulatu Astatke featuring Fekade Amde Maskal,CD
Achievement,pilotredsun,CD
#1 Record,Big Star,CD
Ambient 4: Isolationism,Various Artists,CD
mikgazer vol.1,Various Artists,CD
Zauberberg,GAS,CD
Colossal Youth,Young Marble Giants,CD
Most Things Haven't Worked Out,Junior Kimbrough,CD
Satanic Panic in the Attic,of Montreal,CD
The Impossible Kid,Aesop Rock,CD
Sadness Will Prevail,Today Is the Day,CD
Angel of Salvation,Galneryus,CD
Play the Blues,Buddy Guy & Junior Wells,CD
Hana-bi,久石譲 [Joe Hisaishi],CD
Very,Pet Shop Boys,CD
"Stunts, Blunts & Hip Hop",Diamond and The Psychotic Neurotics,CD
Koi no yokan,Deftones,CD
Illadelph Halflife,The Roots,CD
Lemuria,Therion,CD
One,Neal Morse,CD
Beauty Reaps the Blood of Solitude,Nature and Organisation,CD
The Mack,Willie Hutch,CD
Miles Smiles,Miles Davis Quintet,CD
Absent Friends,The Divine Comedy,CD
Fox Confessor Brings the Flood,Neko Case,CD
Jet Set Radio Future (ジェットセットラジオフューチャー),長沼英樹 [Hideki Naganuma],CD
Vulnicura,Björk,CD
Killer,Alice Cooper,CD
Black Woman,Sonny Sharrock,CD
Taken by Force,Scorpions,CD
Murder Ballads,Nick Cave and The Bad Seeds,CD
Wiosna Ludu,Kapela ze Wsi Warszawa,CD
Miami,The Gun Club,CD
Night Beat,Sam Cooke,CD
Rumor and Sigh,Richard Thompson,CD
Dawn of Possession,Immolation,CD
The Least We Can Do Is Wave to Each Other,Van der Graaf Generator,CD
The Velvet Underground & Nico,The Velvet Underground & Nico,CD
Cosa nuestra,Willie Colón,CD
Sea Son,Secret Oyster,CD
Searching for the Young Soul Rebels,Dexys Midnight Runners,CD
Power Plant,Gamma Ray,CD
In Camera,Peter Hammill,CD
Musas Vol. 2,Natalia Lafourcade,CD
The Raven That Refused to Sing (And Other Stories),Steven Wilson,CD
Some Rap Songs,Earl Sweatshirt,CD
Nocturnal,Heltah Skeltah,CD
The Faith / Void,The Faith / Void,CD
Die Kunst der Fuge,Keller Quartett,CD
Art Pepper Meets the Rhythm Section,Art Pepper,CD
Requiem: Mezzo forte,Virgin Black,CD
Infamous Angel,Iris DeMent,CD
Shuffering and Shmiling,Fela Anikulapo Kuti and the Afrika 70,CD
Kimono My House,Sparks,CD
Into the Grave,Grave,CD
From Wisdom to Hate,Gorguts,CD
Mingus Mingus Mingus Mingus Mingus,Charles Mingus,CD
...And Justice for All,Metallica,CD
Cry Tuff Dub Encounter Chapter III,Prince Far-I and The Arabs,CD
Take Me to Your Leader,King Geedorah,CD
Blood on the Tracks,Bob Dylan,CD
Somewhere City,Origami Angel,CD
Components,Bobby Hutcherson,CD
Begin,The Millennium,CD
"The Wild, the Innocent & the E Street Shuffle",Bruce Springsteen,CD
Русское поле экспериментов,Гражданская оборона [Grazhdanskaya Oborona],CD
Watching From a Distance,Warning,CD
Rattlesnakes,Lloyd Cole and The Commotions,CD
Subsurface,Threshold,CD
Grim Fandango,Peter McConnell,CD
I'll Take Care of You,Mark Lanegan,CD
Still Got the Blues,Gary Moore,CD
Once: Music From the Motion Picture,Various Artists,CD
Måltid,Samla Mammas Manna,CD
Neotokyo,Ed Harrison,CD
Know What I Mean?,Cannonball Adderley With Bill Evans,CD
Just Got Back From the Discomfort—We're Alright,The Brave Little Abacus,CD
Lo mato,Willie Colón,CD
Secrets of the Beehive,David Sylvian,CD
Marquee Moon,Television,CD
Wonderful Rainbow,Lightning Bolt,CD
Ballads,John Coltrane Quartet,CD
