title,authors,type
The Dancing Girl of Izu and Other Stories,Yasunari Kawabata/J. Martin Holman,Book
The Panda's Thumb: More Reflections in Natural History,Stephen Jay Gould,Book
Teach Them Diligently: How to Use the Scriptures in Child Training,Lou Priolo,Book
Dans les coulisses du musée,Kate Atkinson/Jean Bourdier,Book
The Complete Short Novels,Anton Chekhov/Richard Pevear/Larissa Volokhonsky,Book
Selected Verse,Federico García Lorca/Christopher Maurer,Book
Der Gesang Des Meeres. Beach Music,Pat Conroy,Book
The Anthropology of Turquoise: Reflections on Desert  Sea  Stone  and Sky,Ellen Meloy,Book
Tsubasa: RESERVoir CHRoNiCLE  Vol. 04 (Tsubasa: RESERVoir CHRoNiCLE  #4),CLAMP/William Flanagan,Book
Dark Visions,Douglas E. Winter/Dan Simmons/Stephen King/George R.R. Martin,Book
The Circus of Adventure,Enid Blyton,Book
Feeding the Future: From Fat to Famine  How to Solve the World's Food Crises,Andrew Heintzman/Evan Solomon/Eric Schlosser,Book
The Children's Homer: The Adventures of Odysseus and the Tale of Troy,Padraic Colum/Willy Pogány,Book
The Moonstone,Wilkie Collins,Book
Apollodorus' Library and Hyginus' Myths: Two Handbooks of Greek Mythology,Apollodorus/Hyginus/R. Scott Smith/Stephen M. Trzaskoma,Book
The Man Who Watched Trains Go By,Georges Simenon/Marc Romano/D. Thin/Luc Sante,Book
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,Book
Lord Malquist and Mr. Moon,Tom Stoppard,Book
Plays 5: Arcadia / The Real Thing / Night and Day / Indian Ink / Hapgood,Tom Stoppard,Book
Jenny and the Jaws of Life: Short Stories,Jincy Willett/David Sedaris,Book
Palm Sunday: An Autobiographical Collage,Kurt Vonnegut Jr.,Book
Be Happy or I'll Scream!: My Deranged Quest for the Perfect Husband  Family  and Life,Sheri Lynch,Book
