Series_Title,Director,type
Vertigo,Alfred Hitchcock,DVD
Barfi!,Anurag Basu,DVD
Du rififi chez les hommes,Jules Dassin,DVD
My Cousin Vinny,Jonathan Lynn,DVD
Kaze no tani no Naushika,Hayao Miyazaki,DVD
Bin-jip,Ki-duk Kim,DVD
The Longest Day,Ken Annakin,DVD
In a Lonely Place,Nicholas Ray,DVD
The Curious Case of Benjamin Button,David Fincher,DVD
The Manchurian Candidate,John Frankenheimer,DVD
Yôjinbô,Akira Kurosawa,DVD
The French Connection,William Friedkin,DVD
Harry Potter and the Deathly Hallows: Part 1,David Yates,DVD
Whiplash,Damien Chazelle,DVD
Do the Right Thing,Spike Lee,DVD
Inherit the Wind,Stanley Kramer,DVD
Manchester by the Sea,Kenneth Lonergan,DVD
"I, Daniel Blake",Ken Loach,DVD
Kakushi-toride no san-akunin,Akira Kurosawa,DVD
Spartacus,Stanley Kubrick,DVD
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,DVD
Patton,Franklin J. Schaffner,DVD
Dark Waters,Todd Haynes,DVD
Huo Yuan Jia,Ronny Yu,DVD
The Thing,John Carpenter,DVD
Chhichhore,Nitesh Tiwari,DVD
Gilda,Charles Vidor,DVD
Baby,Neeraj Pandey,DVD
The Last Samurai,Edward Zwick,DVD
After Hours,Martin Scorsese,DVD
The Intouchables,Olivier Nakache,DVD
Naked,Mike Leigh,DVD
Blowup,Michelangelo Antonioni,DVD
The Dark Knight Rises,Christopher Nolan,DVD
Song of the Sea,Tomm Moore,DVD
"Synecdoche, New York",Charlie Kaufman,DVD
Pan's Labyrinth,Guillermo del Toro,DVD
What Ever Happened to Baby Jane?,Robert Aldrich,DVD
Hera Pheri,Priyadarshan,DVD
PK,Rajkumar Hirani,DVD
Charade,Stanley Donen,DVD
The Color Purple,Steven Spielberg,DVD
Inside Out,Pete Docter,DVD
The Bourne Ultimatum,Paul Greengrass,DVD
La grande bellezza,Paolo Sorrentino,DVD
Night on Earth,Jim Jarmusch,DVD
Viskningar och rop,Ingmar Bergman,DVD
Boksuneun naui geot,Chan-wook Park,DVD
Indiana Jones and the Last Crusade,Steven Spielberg,DVD
English Vinglish,Gauri Shinde,DVD
Deadpool 2,David Leitch,DVD
The Blues Brothers,John Landis,DVD
End of Watch,David Ayer,DVD
Apocalypto,Mel Gibson,DVD
The Truman Show,Peter Weir,DVD
Captain Fantastic,Matt Ross,DVD
Mustang,Deniz Gamze Ergüven,DVD
All the President's Men,Alan J. Pakula,DVD
Shadow of a Doubt,Alfred Hitchcock,DVD
The King's Speech,Tom Hooper,DVD
Badhaai ho,Amit Ravindernath Sharma,DVD
Paddington 2,Paul King,DVD
The Shop Around the Corner,Ernst Lubitsch,DVD
Stardust,Matthew Vaughn,DVD
Dip huet seung hung,John Woo,DVD
The Thin Red Line,Terrence Malick,DVD
Auf der anderen Seite,Fatih Akin,DVD
The Taking of Pelham One Two Three,Joseph Sargent,DVD
The Pursuit of Happyness,Gabriele Muccino,DVD
Sunrise: A Song of Two Humans,F.W. Murnau,DVD
Metropolis,Fritz Lang,DVD
Andaz Apna Apna,Rajkumar Santoshi,DVD
Der Name der Rose,Jean-Jacques Annaud,DVD
Avengers: Infinity War,Anthony Russo,DVD
Modern Times,Charles Chaplin,DVD
True Romance,Tony Scott,DVD
Nelyubov,Andrey Zvyagintsev,DVD
Groundhog Day,Harold Ramis,DVD
Un prophète,Jacques Audiard,DVD
C.R.A.Z.Y.,Jean-Marc Vallée,DVD
The Apartment,Billy Wilder,DVD
Das Cabinet des Dr. Caligari,Robert Wiene,DVD
Incendies,Denis Villeneuve,DVD
"Monsters, Inc.",Pete Docter,DVD
Fried Green Tomatoes,Jon Avnet,DVD
The Grapes of Wrath,John Ford,DVD
American Beauty,Sam Mendes,DVD
Alien,Ridley Scott,DVD
Detachment,Tony Kaye,DVD
La dolce vita,Federico Fellini,DVD
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Hideaki Anno,DVD
Who's Afraid of Virginia Woolf?,Mike Nichols,DVD
Bir Zamanlar Anadolu'da,Nuri Bilge Ceylan,DVD
The Others,Alejandro Amenábar,DVD
Wreck-It Ralph,Rich Moore,DVD
Sunset Blvd.,Billy Wilder,DVD
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,DVD
It Happened One Night,Frank Capra,DVD
28 Days Later...,Danny Boyle,DVD
Mandariinid,Zaza Urushadze,DVD
Kumonosu-jô,Akira Kurosawa,DVD
Per un pugno di dollari,Sergio Leone,DVD
(500) Days of Summer,Marc Webb,DVD
Blood Simple,Joel Coen,DVD
Dil Chahta Hai,Farhan Akhtar,DVD
Green Book,Peter Farrelly,DVD
My Fair Lady,George Cukor,DVD
