Series_Title,Director,type
Apocalypse Now,Francis Ford Coppola,VHS
Togo,Ericson Core,VHS
Amores perros,Alejandro G. Iñárritu,VHS
Mission: Impossible - Fallout,Christopher McQuarrie,VHS
Haider,Vishal Bhardwaj,VHS
Vicky Donor,Shoojit Sircar,VHS
Dangal,Nitesh Tiwari,VHS
Doctor Zhivago,David Lean,VHS
Zindagi Na Milegi Dobara,Zoya Akhtar,VHS
The Manchurian Candidate,John Frankenheimer,VHS
The Fall,Tarsem Singh,VHS
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,VHS
Jodaeiye Nader az Simin,Asghar Farhadi,VHS
The Big Lebowski,Joel Coen,VHS
Die Hard: With a Vengeance,John McTiernan,VHS
Guess Who's Coming to Dinner,Stanley Kramer,VHS
Jungfrukällan,Ingmar Bergman,VHS
The Butterfly Effect,Eric Bress,VHS
The Fault in Our Stars,Josh Boone,VHS
Dil Bechara,Mukesh Chhabra,VHS
Rocky,John G. Avildsen,VHS
Platoon,Oliver Stone,VHS
Harry Potter and the Goblet of Fire,Mike Newell,VHS
Tenkû no shiro Rapyuta,Hayao Miyazaki,VHS
Pâfekuto burû,Satoshi Kon,VHS
Dallas Buyers Club,Jean-Marc Vallée,VHS
8½,Federico Fellini,VHS
It Happened One Night,Frank Capra,VHS
M.S. Dhoni: The Untold Story,Neeraj Pandey,VHS
Goldfinger,Guy Hamilton,VHS
The Last Samurai,Edward Zwick,VHS
La haine,Mathieu Kassovitz,VHS
Night on Earth,Jim Jarmusch,VHS
Casablanca,Michael Curtiz,VHS
Beauty and the Beast,Gary Trousdale,VHS
The Shawshank Redemption,Frank Darabont,VHS
Avengers: Infinity War,Anthony Russo,VHS
Rosemary's Baby,Roman Polanski,VHS
Her,Spike Jonze,VHS
Creed,Ryan Coogler,VHS
The Big Short,Adam McKay,VHS
October Sky,Joe Johnston,VHS
Capharnaüm,Nadine Labaki,VHS
"South Park: Bigger, Longer & Uncut",Trey Parker,VHS
Notorious,Alfred Hitchcock,VHS
Memento,Christopher Nolan,VHS
Mommy,Xavier Dolan,VHS
C.R.A.Z.Y.,Jean-Marc Vallée,VHS
The Right Stuff,Philip Kaufman,VHS
The Incredibles,Brad Bird,VHS
Ying xiong,Yimou Zhang,VHS
From Here to Eternity,Fred Zinnemann,VHS
L'avventura,Michelangelo Antonioni,VHS
Raiders of the Lost Ark,Steven Spielberg,VHS
Road to Perdition,Sam Mendes,VHS
Miracle in cell NO.7,Mehmet Ada Öztekin,VHS
Snatch,Guy Ritchie,VHS
Harvey,Henry Koster,VHS
50/50,Jonathan Levine,VHS
Primal Fear,Gregory Hoblit,VHS
Rashômon,Akira Kurosawa,VHS
Central do Brasil,Walter Salles,VHS
Trois couleurs: Blanc,Krzysztof Kieslowski,VHS
La vita è bella,Roberto Benigni,VHS
Just Mercy,Destin Daniel Cretton,VHS
Soul,Pete Docter,VHS
Cast Away,Robert Zemeckis,VHS
Skyfall,Sam Mendes,VHS
The Dark Knight,Christopher Nolan,VHS
12 Years a Slave,Steve McQueen,VHS
Fantastic Mr. Fox,Wes Anderson,VHS
Star Trek Into Darkness,J.J. Abrams,VHS
V for Vendetta,James McTeigue,VHS
Brazil,Terry Gilliam,VHS
Detachment,Tony Kaye,VHS
Oldeuboi,Chan-wook Park,VHS
In Bruges,Martin McDonagh,VHS
OMG: Oh My God!,Umesh Shukla,VHS
Harold and Maude,Hal Ashby,VHS
A Beautiful Mind,Ron Howard,VHS
Minority Report,Steven Spielberg,VHS
Kokuhaku,Tetsuya Nakashima,VHS
Deadpool 2,David Leitch,VHS
"Synecdoche, New York",Charlie Kaufman,VHS
3 Idiots,Rajkumar Hirani,VHS
Du rififi chez les hommes,Jules Dassin,VHS
Gangs of Wasseypur,Anurag Kashyap,VHS
The Imitation Game,Morten Tyldum,VHS
Magnolia,Paul Thomas Anderson,VHS
The Searchers,John Ford,VHS
Slumdog Millionaire,Danny Boyle,VHS
Kill Bill: Vol. 1,Quentin Tarantino,VHS
My Left Foot: The Story of Christy Brown,Jim Sheridan,VHS
Enemy at the Gates,Jean-Jacques Annaud,VHS
Mulan,Tony Bancroft,VHS
Freaks,Tod Browning,VHS
Spider-Man: Into the Spider-Verse,Bob Persichetti,VHS
The Exorcist,William Friedkin,VHS
Star Trek,J.J. Abrams,VHS
"Swades: We, the People",Ashutosh Gowariker,VHS
Captain America: The Winter Soldier,Anthony Russo,VHS
Only the Brave,Joseph Kosinski,VHS
Barfi!,Anurag Basu,VHS
The Long Goodbye,Robert Altman,VHS
Sound of Metal,Darius Marder,VHS
Sense and Sensibility,Ang Lee,VHS
Do the Right Thing,Spike Lee,VHS
Predator,John McTiernan,VHS
Get Out,Jordan Peele,VHS
Hotaru no haka,Isao Takahata,VHS
Glory,Edward Zwick,VHS
Andhadhun,Sriram Raghavan,VHS
Dom za vesanje,Emir Kusturica,VHS
Walk the Line,James Mangold,VHS
Ayla: The Daughter of War,Can Ulkay,VHS
Mysterious Skin,Gregg Araki,VHS
Rush,Ron Howard,VHS
The Untouchables,Brian De Palma,VHS
Jûbê ninpûchô,Yoshiaki Kawajiri,VHS
Forushande,Asghar Farhadi,VHS
Nightcrawler,Dan Gilroy,VHS
The Elephant Man,David Lynch,VHS
Hacksaw Ridge,Mel Gibson,VHS
Awakenings,Penny Marshall,VHS
Blazing Saddles,Mel Brooks,VHS
Le notti di Cabiria,Federico Fellini,VHS
Dirty Harry,Don Siegel,VHS
Donnie Brasco,Mike Newell,VHS
Rio Bravo,Howard Hawks,VHS
Smultronstället,Ingmar Bergman,VHS
Hunt for the Wilderpeople,Taika Waititi,VHS
Boyz n the Hood,John Singleton,VHS
Hauru no ugoku shiro,Hayao Miyazaki,VHS
Anand,Hrishikesh Mukherjee,VHS
Kôkaku Kidôtai,Mamoru Oshii,VHS
Cape Fear,J. Lee Thompson,VHS
Darbareye Elly,Asghar Farhadi,VHS
La double vie de Véronique,Krzysztof Kieslowski,VHS
Being There,Hal Ashby,VHS
Baby,Neeraj Pandey,VHS
The Little Mermaid,Ron Clements,VHS
Into the Wild,Sean Penn,VHS
Babam ve Oglum,Çagan Irmak,VHS
The Day of the Jackal,Fred Zinnemann,VHS
The Help,Tate Taylor,VHS
The Taking of Pelham One Two Three,Joseph Sargent,VHS
In the Name of the Father,Jim Sheridan,VHS
Paper Moon,Peter Bogdanovich,VHS
"Aguirre, der Zorn Gottes",Werner Herzog,VHS
The Third Man,Carol Reed,VHS
Breakfast at Tiffany's,Blake Edwards,VHS
Mar adentro,Alejandro Amenábar,VHS
Ed Wood,Tim Burton,VHS
Captain Phillips,Paul Greengrass,VHS
Titanic,James Cameron,VHS
Midnight in Paris,Woody Allen,VHS
Moon,Duncan Jones,VHS
Loving Vincent,Dorota Kobiela,VHS
Dil Chahta Hai,Farhan Akhtar,VHS
The Bridge on the River Kwai,David Lean,VHS
The Man from Earth,Richard Schenkman,VHS
Mimi wo sumaseba,Yoshifumi Kondô,VHS
The Night of the Hunter,Charles Laughton,VHS
"Monsters, Inc.",Pete Docter,VHS
Talvar,Meghna Gulzar,VHS
Udta Punjab,Abhishek Chaubey,VHS
Butch Cassidy and the Sundance Kid,George Roy Hill,VHS
The Martian,Ridley Scott,VHS
A Night at the Opera,Sam Wood,VHS
Taegukgi hwinalrimyeo,Je-kyu Kang,VHS
Hedwig and the Angry Inch,John Cameron Mitchell,VHS
Wonder,Stephen Chbosky,VHS
Tôkyô goddofâzâzu,Satoshi Kon,VHS
The Magdalene Sisters,Peter Mullan,VHS
Duck Soup,Leo McCarey,VHS
Vikram Vedha,Gayatri,VHS
The Muppet Movie,James Frawley,VHS
Trois couleurs: Bleu,Krzysztof Kieslowski,VHS
Cat on a Hot Tin Roof,Richard Brooks,VHS
Kagemusha,Akira Kurosawa,VHS
La La Land,Damien Chazelle,VHS
The Odd Couple,Gene Saks,VHS
Ran,Akira Kurosawa,VHS
Breaking the Waves,Lars von Trier,VHS
28 Days Later...,Danny Boyle,VHS
Rockstar,Imtiaz Ali,VHS
Drishyam,Nishikant Kamat,VHS
Forrest Gump,Robert Zemeckis,VHS
On Golden Pond,Mark Rydell,VHS
Glengarry Glen Ross,James Foley,VHS
Philadelphia,Jonathan Demme,VHS
Mr. Smith Goes to Washington,Frank Capra,VHS
Jurassic Park,Steven Spielberg,VHS
The Grand Budapest Hotel,Wes Anderson,VHS
Les choristes,Christophe Barratier,VHS
Le Petit Prince,Mark Osborne,VHS
The Remains of the Day,James Ivory,VHS
Nebraska,Alexander Payne,VHS
